id|user|created_at|text|lang|label|retweet_count|favorite_count
1520418818924896256|975200486|Sat Apr 30 15:04:29 +0000 2022|The partial derivative of the price of food with respect to atmospheric carbon dioxide concentration is negative. Let that sink in.|en|R|219|1498
1520409815159390208|975200486|Sat Apr 30 14:28:42 +0000 2022|CO2 is free fertilizer in the air.|en|R|682|5593
1520404039325954048|975200486|Sat Apr 30 14:05:45 +0000 2022|"Climate alarmists switched from Global Warming to Global Climate Change when their predictions failed to match the outcomes.

But when the RNA shots failed to deliver immunity, the government simply changed the definition of vaccination.

#MinistryOfTruth"|en|R|4099|13700
1520364716757037056|975200486|Sat Apr 30 11:29:30 +0000 2022|.@SpeakerPelosi once called me a dangerous nuisance because I refused to let her pass a $2 trillion spending bill by herself. If that’s her definition of a dangerous nuisance, I pledge to remain one for as long as she is speaker. https://t.co/E1Tlo5E1yv|en|R|742|5714
1520359380935401475|975200486|Sat Apr 30 11:08:17 +0000 2022|I tweeted this the day before congress let the inflating genie 🧞‍♀️ out of the bottle: https://t.co/YyBx5pfzmm|en|R|333|1711
1520352713007108096|975200486|Sat Apr 30 10:41:48 +0000 2022|Liberals aren’t worried that they’ll be censored on Twitter. They’re worried that their ideas will be debated.|en|R|7033|47225
1520245356667498496|975200486|Sat Apr 30 03:35:12 +0000 2022|Which four nation states are most capable of (and most frequently) spying on American citizens and government officials?|en|R|353|2795
1520234305766580224|975200486|Sat Apr 30 02:51:17 +0000 2022|It’s been 6 months and 2 jabs since #MinistryOfTruth updated the definition of vaccination. Time for an update? https://t.co/3HwTvAQIXK|en|R|3282|9456
1520228695868387328|975200486|Sat Apr 30 02:29:00 +0000 2022|My latest follow for reliable, government approved narratives is @USMiniTru. #sassywithmassie https://t.co/wTzzL1Q4Ff|en|R|445|3433
1520154816965718022|975200486|Fri Apr 29 21:35:26 +0000 2022|"Congress was spending about $50 billion per year in Afghanistan before it ended. 

Congress has spent about $40 billion in Ukraine this year. 🤔

For perspective: all US federal highway and bridge spending adds up to about $50 billion per year. https://t.co/5ANONaYwXc"|en|R|1656|4863
1520033076172271616|975200486|Fri Apr 29 13:31:40 +0000 2022|"Yesterday, Congress authorized the President to send any weapon, other than a nuclear weapon, to Ukraine.

Biden has signs of dementia. What could possibly go wrong?"|en|R|1430|7761
1520023251484909568|975200486|Fri Apr 29 12:52:38 +0000 2022|"“well bless your heart” is the best combination of four, single syllable words in the English language.

If you don’t agree, well bless your heart! 🙏 ❤️ 😉"|en|R|146|1687
1520002057301811201|975200486|Fri Apr 29 11:28:25 +0000 2022|"I assume the creepy new DHS “Disinformation Governance Board” is going to be tasked with spreading disinformation.

The person chosen to lead it suggested, just before the 2020 election: Hunter’s laptop was fake and social media was to blame for the Gov. Whitmer kidnapping plot."|en|R|2502|9332
1519788110900563970|975200486|Thu Apr 28 21:18:16 +0000 2022|"Congress just authorized Biden to transfer virtually any weapon of war, other than a nuclear weapon, to Ukraine. 🤦‍♂️ Insane!

Here is the link to the bill and the statutory definition of “defensive article” the bill references. I voted No. https://t.co/dng7yPOCc4"|en|R|2576|6556
1519762648476401665|975200486|Thu Apr 28 19:37:05 +0000 2022|DHS Sec Mayorkas claims ICE has deported thousands of immigrants for murder and rape. Mayorkas admits newly released migrants will “undoubtedly” commit more crimes but refuses to deport them before they do. https://t.co/JuSeLhmo51|en|R|769|1859
1519625372408627202|975200486|Thu Apr 28 10:31:36 +0000 2022|"Bureaucrats in DC shouldn’t be deciding what your children learn at school.

My bill, #HR899, is only one sentence long:

“The Department of Education shall terminate on December 31, 2022.”"|en|R|5447|28255
1519053600990900224|975200486|Tue Apr 26 20:39:35 +0000 2022|"The federal reserve isn’t an independent organization.

The federal reserve is a rogue organization.

It services and coordinates with private banks and the US Treasury Department every day, but it does not answer to those elected to represent the interests of common people."|en|R|1661|6331
1519043898601058306|975200486|Tue Apr 26 20:01:02 +0000 2022|"Look at the Federal Reserve’s balance sheet. We didn’t borrow the money we spent over the last two years - we printed it.

When we borrow it, that’s on your grandkids. When we print it, that’s on you."|en|R|1875|7783
1518994161378209799|975200486|Tue Apr 26 16:43:24 +0000 2022|"Just spoke with @realDickHeller. He cashed a $5000 check from the city of Washington DC about ten days ago. That’s right, he beat them again.

This time they were smarter - when he filed the lawsuit, they gave him a fat check and let him have his gun!
https://t.co/a5l3HLD8cx"|en|R|117|446
1518985593807687680|975200486|Tue Apr 26 16:09:21 +0000 2022|"Made 150+ miles of my trip to DC on solar power. Recharging the car with coal power here in WV. Fueling my body with some Kentucky raw milk yogurt. 
P.S. thank you to everyone who pointed out my tags were 14 months expired the last time I tweeted a picture of my ND-FED plates! 😬 https://t.co/FnFY4OafhR"|en|R|129|1929
1518048295951740931|975200486|Sun Apr 24 02:04:52 +0000 2022|The fact that farmers are selling land to Bill Gates and China is damning indictment of the @USDA and the “farm bills” that Congress has passed.|en|R|2564|11199
1518046983381991425|975200486|Sun Apr 24 01:59:39 +0000 2022|Empower farmers and get the government off their backs instead of subsidizing them.|en|R|1248|9399
1518015045011226624|975200486|Sat Apr 23 23:52:44 +0000 2022|Only found three morels this evening but they weighed 1/4 lb ! https://t.co/fUFzDcY2rY|en|R|84|2450
1517909252878311425|975200486|Sat Apr 23 16:52:21 +0000 2022|This morning I had brunch at the Grand Opening of the Hive in Erlanger, Kentucky. Erlanger Mayor Jessica Fette and her dad Vito have created an amazing family restaurant that serves “East Coast” food. Their signature breakfast sandwich is the pork roll. https://t.co/rEGN30oXcu|en|R|44|529
1517851163961532416|975200486|Sat Apr 23 13:01:32 +0000 2022|what a maroon 👇 https://t.co/FQhIvZlCQq|en|R|51|805
1517844877383450624|975200486|Sat Apr 23 12:36:33 +0000 2022|News flash: Farmers don’t grow plant based meat; corporations make it in a factory.|en|R|3902|23851
