id|user|created_at|text|lang|label
1499540361957412867|223166587|Fri Mar 04 00:20:57 +0000 2022|Make no mistake, Putin is a vicious dictator who had no justification to attack Ukraine. The international communit… https://t.co/iMviPIQTNv|en|Democratic Party
1499446023806021633|223166587|Thu Mar 03 18:06:05 +0000 2022|Good. https://t.co/cWtJpGkIs8|en|Democratic Party
1499182703949725699|223166587|Thu Mar 03 00:39:44 +0000 2022|President Biden's SOTU speech last night laid out some very achievable goals. From reducing the cost of prescriptio… https://t.co/yhVoWCjUnE|en|Democratic Party
1498405817090854913|223166587|Mon Feb 28 21:12:40 +0000 2022|Today the Senate is voting on the Women’s Health Protection Act to codify Roe v. Wade in federal law. I am voting Y… https://t.co/z1sQbHOzuG|en|Democratic Party
1497373397730295808|223166587|Sat Feb 26 00:50:12 +0000 2022|Gov. Abbott's egregious attack on trans kids and their families must not stand. He is attacking children for simply… https://t.co/nItSd7AdVw|en|Democratic Party
1497254480340873220|223166587|Fri Feb 25 16:57:40 +0000 2022|President Biden's nomination of Judge Ketanji Brown Jackson to the Supreme Court is an historic first, and it's cle… https://t.co/JSwJySafYv|en|Democratic Party
1496998757862240273|223166587|Fri Feb 25 00:01:31 +0000 2022|The world must unite together against Russia's illegal attack on Ukraine. I support the strongest economic punishme… https://t.co/S5vweT8BM4|en|Democratic Party
1496586751220932609|223166587|Wed Feb 23 20:44:21 +0000 2022|Louis DeJoy is destroying the USPS. And now he's tied the fleet to gas-powered trucks for 30 years, when we should… https://t.co/Y2wJzswwfd|en|Democratic Party
1495142395914211333|223166587|Sat Feb 19 21:05:00 +0000 2022|We have a real opportunity to expand our Senate majority. There are open Senate seats in Ohio, Pennsylvania and Nor… https://t.co/zxgrRx8VfL|en|Democratic Party
1494840323163312128|223166587|Sat Feb 19 01:04:40 +0000 2022|The Postal fleet should go electric. And Louis DeJoy should just go.|en|Democratic Party
1494435328450461697|223166587|Thu Feb 17 22:15:22 +0000 2022|"The states in the Southwest are facing the worst drought in over 1,200 years.

This is Code Red. We have to address… https://t.co/Gz5ss1yUJw"|en|Democratic Party
1493620610269794304|223166587|Tue Feb 15 16:17:58 +0000 2022|🚨🚨🚨Louis DeJoy is trying to lock in the Postal Service to gas-powered trucks for the next 30 years.  This is either… https://t.co/2IIj8WXOfW|en|Democratic Party
1493339033446993928|223166587|Mon Feb 14 21:39:05 +0000 2022|"Roses are red
Violets are blue
I love Vote by Mail
and Americans do too!"|en|Democratic Party
1492950924733546498|223166587|Sun Feb 13 19:56:52 +0000 2022|BREAKING: I am thrilled to announce that I am endorsing @CheriBeasleyNC for U.S. Senate! Cheri will be a fantastic… https://t.co/2IkyLly5Hi|en|Democratic Party
1492531542798659585|223166587|Sat Feb 12 16:10:24 +0000 2022|"Vote by Mail works in blue states. 
Vote by Mail works in red states. 

Let's take Vote by Mail nationwide!"|en|Democratic Party
1492218561829347328|223166587|Fri Feb 11 19:26:43 +0000 2022|Years ago I introduced a bill called the Ban Conflicted Trading Act that would bar members of Congress from trading… https://t.co/ECka1xCFO0|en|Democratic Party
1491817248108912644|223166587|Thu Feb 10 16:52:03 +0000 2022|"The planet is facing a Code Red. 

The ocean is acidifying, the planet is rapidly warming and severe storms are thr… https://t.co/emkdobhBEP"|en|Democratic Party
1491219805361569792|223166587|Wed Feb 09 01:18:01 +0000 2022|My hope is that we'll have a bill on the floor soon that would bar members of Congress from trading stocks while se… https://t.co/WBNGICtM8j|en|Democratic Party
1491143234227425282|223166587|Tue Feb 08 20:13:45 +0000 2022|The Supreme Court is out of control. They are destroying the Voting Rights Act and ruling in favor of racist gerrym… https://t.co/mLAhAbmtkO|en|Democratic Party
1490721629839654913|223166587|Mon Feb 07 16:18:27 +0000 2022|If a member of Congress writes and passes laws that affect the bottom lines of publicly traded companies -- that me… https://t.co/dUQf3FAuoP|en|Democratic Party
1490408625730306049|223166587|Sun Feb 06 19:34:41 +0000 2022|"If congressional staff want to form a union, I'm all for it. 

If Starbucks workers want to form a union, I'm all f… https://t.co/DsgeAgOG6v"|en|Democratic Party
1490069130514366464|223166587|Sat Feb 05 21:05:39 +0000 2022|Today is #WesternMonarchDay! I’m here at the Pismo State Beach Monarch Grove. The Monarch population is under grave… https://t.co/JjHbczVZTd|en|Democratic Party
1490008969527529476|223166587|Sat Feb 05 17:06:36 +0000 2022|"Sending police officers to the hospital and trying to violently overthrow an election is not ""legitimate political… https://t.co/8NhoNnN0ei"|en|Democratic Party
1489636712011599873|223166587|Fri Feb 04 16:27:22 +0000 2022|RT if you believe no member of Congress should be able to buy or sell stocks while serving.|en|Democratic Party
1489354522593927170|223166587|Thu Feb 03 21:46:03 +0000 2022|"Lawmakers should not be able to get rich off the stock market while serving in Congress. 

That's why I introduced… https://t.co/8oJ9GvF1Ch"|en|Democratic Party
1489265804411498508|223166587|Thu Feb 03 15:53:31 +0000 2022|I'm calling on the U.S. Olympic and Paralympic Committee to ensure that Olympic athletes' freedom of speech is prot… https://t.co/8ei176A94t|en|Democratic Party
1489051495051902978|223166587|Thu Feb 03 01:41:56 +0000 2022|Portland has lost a legend in Bud Clark. He will be missed immensely. Thank you Bud for your service! https://t.co/LAKCHNDBxx|en|Democratic Party
1488937579940433921|223166587|Wed Feb 02 18:09:16 +0000 2022|Every eligible voter should be able to Vote by Mail. And we should have nationwide Automatic Voter Registration as… https://t.co/fNNr0z4Aia|en|Democratic Party
1488651106099941376|223166587|Tue Feb 01 23:10:56 +0000 2022|We can't let Mitch McConnell become Majority Leader again. We must expand our Senate majority in 2022!… https://t.co/GylSRYYYGS|en|Democratic Party
1488603312664428544|223166587|Tue Feb 01 20:01:01 +0000 2022|"Should we ban members of Congress from trading stocks? 

⬜️🟩⬜️🟩⬜️
⬜️🟩⬜️🟩⬜️
⬜️⬜️🟩⬜️⬜️
⬜️⬜️🟩⬜️⬜️
⬜️⬜️🟩⬜️⬜️

⬜️🟩🟩🟩⬜️… https://t.co/ujF0xgB60Y"|en|Democratic Party
1488199799513903104|223166587|Mon Jan 31 17:17:36 +0000 2022|Today I am announcing I am endorsing @ValHoyle for Oregon's 4th district! Val has a proven track record of fighting… https://t.co/FFqUd9Qyu0|en|Democratic Party
1487818756466249730|223166587|Sun Jan 30 16:03:28 +0000 2022|In the past year, the economy has grown at the fastest rate since 1984. This is what happens when you have a presid… https://t.co/ynoyz4z79V|en|Democratic Party
1487149140500828160|223166587|Fri Jan 28 19:42:39 +0000 2022|"No one has abused the Supreme Court confirmation process more than Mitch McConnell. 

I am grateful he is not the M… https://t.co/vR5Ga2V2qM"|en|Democratic Party
1486184576862998530|223166587|Wed Jan 26 03:49:49 +0000 2022|I do like peanut butter sandwiches. I do not like Senate paralysis. https://t.co/WDfPPSqxaB|en|Democratic Party
1485999225762627589|223166587|Tue Jan 25 15:33:18 +0000 2022|The Senate is broken. This coming election, we need to elect more Democrats to the Senate who aren't afraid to take… https://t.co/bP7YDBpYnV|en|Democratic Party
